step,loss,acc_top1,acc_top5,learning_rate
0,5.776281356811523,1.953125,2.734375,0.0003
100,5.5262932777404785,1.171875,3.90625,0.0003
200,5.497739791870117,2.734375,7.421875,0.0003
300,5.510305404663086,1.953125,5.078125,0.0003
400,5.539675712585449,5.078125,7.03125,0.0003
500,5.497344970703125,0.78125,2.734375,0.0003
600,5.553103446960449,1.171875,3.90625,0.0003
700,5.503218173980713,1.953125,7.421875,0.0003
800,5.541056156158447,0.78125,3.125,0.0003
900,5.489380836486816,1.5625,3.90625,0.0003
1000,5.495923042297363,3.90625,5.46875,0.0003
1100,5.481906414031982,1.171875,3.515625,0.0003
1200,5.479003429412842,3.125,6.25,0.0003
1300,5.523402690887451,1.5625,2.734375,0.0003
1400,5.487743377685547,1.171875,4.296875,0.0003
1500,5.516360759735107,1.953125,3.125,0.0003
1600,5.467020034790039,3.125,5.078125,0.0003
1700,5.509760856628418,1.5625,3.90625,0.0003
1800,5.520695209503174,1.5625,3.90625,0.0003
1900,5.520721435546875,0.78125,5.078125,0.0003
2000,5.562129974365234,2.734375,6.25,0.0003
2100,5.502662658691406,3.515625,5.46875,0.0003
2200,5.489893436431885,1.5625,4.296875,0.0003
2300,5.482214450836182,1.171875,2.734375,0.0003
2400,5.515103340148926,0.78125,3.125,0.0003
2500,5.477011680603027,1.953125,4.296875,0.0003
2600,5.5060038566589355,1.5625,3.125,0.0003
2700,5.4758195877075195,1.5625,5.859375,0.0003
2800,5.389633655548096,0.390625,5.859375,0.0003
2900,5.226171016693115,4.296875,8.984375,0.0003
3000,4.968216419219971,4.6875,13.671875,0.0003
3100,4.627501487731934,7.8125,21.484375,0.0003
3200,4.5207366943359375,7.03125,22.265625,0.0003
3300,4.613211154937744,8.984375,23.4375,0.0003
3400,4.461564064025879,15.625,33.203125,0.0003
3500,3.949220657348633,18.359375,36.328125,0.0003
3600,4.034610748291016,19.53125,35.15625,0.0003
3700,3.7420847415924072,17.1875,41.40625,0.0003
3800,3.8637239933013916,19.921875,41.796875,0.0003
3900,3.1985251903533936,28.125,55.46875,0.0003
4000,3.4190971851348877,27.34375,51.5625,0.0003
4100,3.0472867488861084,33.984375,56.640625,0.0003
4200,3.2345144748687744,31.640625,56.25,0.0003
4300,3.0339512825012207,35.546875,56.25,0.0003
4400,2.8328588008880615,37.5,60.9375,0.0003
4500,2.7052488327026367,42.578125,64.453125,0.0003
4600,2.508450746536255,48.828125,69.140625,0.0003
4700,2.815749168395996,46.09375,62.890625,0.0003
4800,2.4641425609588623,42.1875,70.703125,0.0003
4900,2.42478346824646,48.046875,73.046875,0.0003
5000,2.397188901901245,47.265625,66.015625,0.0003
5100,2.392879009246826,51.953125,69.53125,0.0003
5200,2.1428635120391846,49.21875,75.78125,0.0003
5300,2.349730968475342,51.953125,70.3125,0.0003
5400,2.135838270187378,54.6875,75.390625,0.0003
5500,2.1340367794036865,53.515625,73.828125,0.0003
5600,2.179673433303833,51.5625,72.65625,0.0003
5700,2.103591203689575,57.421875,74.21875,0.0003
5800,1.9567389488220215,62.109375,78.125,0.0003
5900,1.84390127658844,60.9375,77.734375,0.0003
6000,1.8002952337265015,61.71875,80.46875,0.0003
6100,1.856101393699646,61.71875,82.8125,0.0003
6200,1.7372676134109497,66.796875,78.515625,0.0003
6300,1.6861521005630493,67.1875,81.25,0.0003
6400,1.7494887113571167,63.671875,81.25,0.0003
6500,1.776931643486023,59.765625,80.078125,0.0003
6600,1.558611512184143,68.359375,80.859375,0.0003
6700,1.5204342603683472,66.015625,83.59375,0.0003
6800,1.4571806192398071,68.359375,83.59375,0.0003
6900,1.7273499965667725,58.984375,80.078125,0.0003
7000,1.4710378646850586,71.09375,80.46875,0.0003
7100,1.5890337228775024,67.1875,82.8125,0.0003
7200,1.5065780878067017,67.96875,83.59375,0.0003
7300,1.5095996856689453,65.234375,82.421875,0.0003
7400,1.2821919918060303,74.21875,87.890625,0.0003
7500,1.4266358613967896,67.96875,83.203125,0.0003
7600,1.7364684343338013,64.84375,82.03125,0.0003
7700,1.6190544366836548,63.671875,84.375,0.0003
7800,1.355103850364685,72.265625,82.8125,0.0003
7900,1.6648015975952148,67.96875,81.25,0.0003
8000,1.5853986740112305,70.3125,83.59375,0.0003
8100,1.6059520244598389,62.890625,80.859375,0.0003
8200,1.622154712677002,66.40625,80.46875,0.0003
8300,1.5259376764297485,69.140625,81.640625,0.0003
8400,1.7729171514511108,62.5,79.6875,0.0003
8500,1.4429212808609009,67.96875,84.375,0.0003
8600,1.5053255558013916,69.140625,84.375,0.0003
8700,0.9315128922462463,78.125,93.359375,0.0003
8800,1.1550118923187256,72.65625,87.5,0.0003
8900,1.4887909889221191,71.875,85.15625,0.0003
9000,1.435616135597229,68.75,83.984375,0.0003
9100,1.496086597442627,68.75,86.328125,0.0003
9200,1.2666654586791992,76.953125,87.890625,0.0003
9300,1.3279882669448853,71.484375,85.546875,0.0003
9400,1.4311695098876953,71.09375,82.8125,0.0003
9500,1.0581095218658447,73.828125,89.0625,0.0003
9600,1.6462182998657227,68.75,80.078125,0.0003
9700,1.3185486793518066,73.046875,85.15625,0.0003
9800,1.3978352546691895,67.1875,83.984375,0.0003
9900,1.2133795022964478,74.21875,85.546875,0.0003
10000,1.7521268129348755,64.84375,77.734375,0.0003
10100,1.1896743774414062,73.4375,89.0625,0.0003
10200,1.1228601932525635,76.171875,86.71875,0.0003
10300,1.2021195888519287,75.78125,87.5,0.0003
10400,0.9358462691307068,77.34375,91.796875,0.0003
10500,1.3109564781188965,69.921875,84.765625,0.0003
10600,1.378303050994873,70.3125,81.640625,0.0003
10700,1.151732087135315,72.65625,84.765625,0.0003
10800,1.3191319704055786,74.609375,84.375,0.0003
10900,1.012585997581482,76.171875,90.234375,0.0003
11000,1.158159613609314,76.5625,87.890625,0.0003
11100,1.0993274450302124,73.828125,89.84375,0.0003
11200,1.2378971576690674,72.265625,85.9375,0.0003
11300,1.2334448099136353,73.828125,85.9375,0.0003
11400,1.2773382663726807,68.75,87.890625,0.0003
11500,0.9543460607528687,79.296875,92.578125,0.0003
11600,0.9752567410469055,78.90625,91.796875,0.0003
11700,1.2182137966156006,74.609375,86.328125,0.0003
11800,1.0896267890930176,77.734375,84.765625,0.0003
11900,1.1961669921875,72.65625,87.5,0.0003
12000,1.0063612461090088,83.203125,90.625,0.0003
12100,1.1507644653320312,74.21875,91.796875,0.0003
12200,0.9834192991256714,80.078125,89.84375,0.0003
12300,1.16170334815979,77.34375,87.890625,0.0003
12400,1.0405811071395874,76.171875,89.84375,0.0003
12500,0.9239497184753418,76.953125,91.015625,0.0003
12600,0.8914861679077148,79.6875,92.1875,0.0003
12700,1.0219693183898926,77.734375,89.84375,0.0003
12800,1.1682095527648926,73.828125,87.890625,0.0003
12900,1.3748570680618286,68.75,82.8125,0.0003
13000,0.9184126257896423,80.46875,91.015625,0.0003
13100,0.898790180683136,80.078125,93.359375,0.0003
13200,1.0178990364074707,77.734375,89.0625,0.0003
13300,0.8411493301391602,80.46875,92.96875,0.0003
13400,1.1486961841583252,74.609375,88.28125,0.0003
13500,1.1276017427444458,74.21875,88.671875,0.0003
13600,0.8091819286346436,83.59375,92.96875,0.0003
13700,1.0790830850601196,76.953125,88.28125,0.0003
13800,1.1154046058654785,76.953125,87.890625,0.0003
13900,1.1932594776153564,71.484375,87.890625,0.0003
14000,1.0891072750091553,76.171875,88.28125,0.0003
14100,0.8650399446487427,78.515625,93.75,0.0003
14200,0.9687995910644531,78.515625,89.84375,0.0003
14300,1.0745939016342163,75.78125,87.5,0.0003
14400,1.0979509353637695,75.390625,88.671875,0.0003
14500,1.1183463335037231,75.390625,85.15625,0.0003
14600,1.3981475830078125,70.703125,84.375,0.0003
14700,1.150252103805542,75.0,86.71875,0.0003
14800,0.8548422455787659,82.8125,92.578125,0.0003
14900,0.8674056529998779,79.296875,89.84375,0.0003
15000,0.9616649746894836,78.90625,89.453125,0.0003
15100,0.9361552000045776,78.515625,90.234375,0.0003
15200,1.183252215385437,75.78125,86.328125,0.0003
15300,1.0215152502059937,79.296875,87.890625,0.0003
15400,0.896442711353302,75.78125,91.015625,0.0003
15500,0.8717085123062134,84.765625,89.84375,0.0003
15600,0.7475915551185608,85.15625,93.359375,0.0003
15700,1.103163242340088,77.34375,89.0625,0.0003
15800,0.9432898759841919,78.90625,91.40625,0.0003
15900,1.025299072265625,75.0,88.671875,0.0003
16000,1.080122709274292,75.78125,89.84375,0.0003
16100,0.7615558505058289,82.8125,93.75,0.0003
16200,0.8304063677787781,86.71875,89.84375,0.0003
16300,0.882218062877655,81.25,92.1875,0.0003
16400,0.9926806092262268,76.171875,90.234375,0.0003
16500,0.8313703536987305,82.8125,92.96875,0.0003
16600,1.0041695833206177,82.421875,90.625,0.0003
16700,1.0316740274429321,76.953125,89.453125,0.0003
16800,1.026200294494629,76.5625,89.84375,0.0003
16900,0.8528591394424438,85.546875,91.015625,0.0003
17000,1.3042418956756592,75.0,85.15625,0.0003
17100,1.010180950164795,78.515625,88.671875,0.0003
17200,0.7791997194290161,83.984375,92.1875,0.0003
17300,0.6313021779060364,85.9375,94.921875,0.0003
17400,0.7453043460845947,82.03125,94.53125,0.0003
17500,0.7808497548103333,82.421875,94.140625,0.0003
17600,0.9190474152565002,78.515625,89.84375,0.0003
17700,1.3181055784225464,76.953125,83.984375,0.0003
17800,0.9652619957923889,76.953125,89.453125,0.0003
17900,0.9354289770126343,80.859375,89.453125,0.0003
18000,1.029808521270752,77.734375,89.0625,0.0003
18100,1.0020266771316528,79.296875,88.671875,0.0003
18200,1.184212565422058,77.734375,85.546875,0.0003
18300,0.9714726805686951,80.46875,88.671875,0.0003
18400,0.7837932705879211,84.765625,92.96875,0.0003
18500,0.7680286169052124,81.640625,92.1875,0.0003
18600,1.2390161752700806,75.0,85.15625,0.0003
18700,1.2871264219284058,75.0,87.5,0.0003
18800,0.9799636602401733,78.125,88.671875,0.0003
18900,0.714015781879425,82.8125,94.921875,0.0003
19000,1.0155688524246216,76.953125,88.28125,0.0003
19100,0.8365219831466675,83.203125,90.625,0.0003
19200,1.040027141571045,75.78125,90.234375,0.0003
19300,0.9463053941726685,81.25,91.015625,0.0003
19400,0.797991931438446,82.03125,89.0625,0.0003
19500,0.9622743725776672,78.125,89.0625,0.0003
19600,0.9809526801109314,78.125,90.625,0.0003
19700,0.8334717154502869,82.03125,91.796875,0.0003
19800,0.9390193819999695,81.640625,90.234375,0.0003
19900,0.8387879729270935,83.984375,91.796875,0.0003
20000,0.9139661192893982,78.125,89.453125,0.0003
20100,0.7520641088485718,83.59375,92.578125,0.0003
20200,0.7493847608566284,83.59375,93.359375,0.0003
20300,0.8410374522209167,82.03125,90.625,0.0003
